ID,品目名,カテゴリ,数量,単位,消費期限,支店,保管場所,備考
1,保存水 2L,水・飲料,200,本,2025-08-15,本店,倉庫A,
2,アルファ米 五目ごはん,主食（米・パン）,300,食,2026-02-20,本店,倉庫B,
3,缶詰 サバの味噌煮,缶詰・レトルト,150,缶,2026-03-01,本店,倉庫B,
4,カロリーメイト,お菓子・栄養補助,100,箱,2026-02-05,本店,支店事務所,
5,保存水 2L,水・飲料,100,本,2025-12-01,東京支店,倉庫A,
6,レトルトカレー,缶詰・レトルト,80,食,2026-02-10,東京支店,倉庫A,
7,ビスコ保存缶,お菓子・栄養補助,50,缶,2026-01-30,東京支店,倉庫B,
8,保存水 500ml,水・飲料,80,本,2025-09-20,横浜支店,倉庫A,
9,アルファ米 白飯,主食（米・パン）,90,食,2026-05-30,横浜支店,倉庫A,
10,保存水 2L,水・飲料,80,本,2026-01-15,名古屋支店,倉庫A,
11,乾パン,主食（米・パン）,100,缶,2027-01-15,名古屋支店,倉庫B,
12,保存水 2L,水・飲料,120,本,2025-11-20,大阪支店,倉庫A,
13,レトルトご飯,主食（米・パン）,150,食,2026-04-10,大阪支店,倉庫B,
14,缶詰 ツナ,缶詰・レトルト,100,缶,2026-06-15,大阪支店,倉庫C,
15,保存水 2L,水・飲料,50,本,2026-02-28,神戸支店,倉庫A,
16,カロリーメイト,お菓子・栄養補助,25,箱,2026-03-15,神戸支店,支店事務所,
17,保存水 2L,水・飲料,70,本,2026-01-10,福岡支店,倉庫A,
18,アルファ米 五目ごはん,主食（米・パン）,100,食,2026-07-20,福岡支店,倉庫B,
19,缶詰 焼き鳥,缶詰・レトルト,60,缶,2026-08-01,福岡支店,倉庫B,